"","dataset","measure_id","name"
"43","phis",22,"DOS starts with 1 for >=5% of sample cases."
"44","phis",1958,"PPx start hour is missing for 100% of PPx."
"45","phis",1216,"Encounter duplicate cases (same BN & demographics)"
"46","phis",1183,"Adm Hr Ind = default for >99% of cases"
"47","phis",2635,"Medical Record Number duplicate rate >=.2% (>1 DOB)"
"48","phis",1372,"DOB is <=12/31/1960. (DOB not missing)"
"49","phis",1597,"POA All Dx codes not exempt by CMS are assigned POA Exempt"
"50","phis",2079,"LOS maximum value >=2 for >=.5% of Ambulatory Surgery cases."
"51","phis",1547,"Px codes are invalid for >=.1% of cases."
"52","phis",1203,"Adm Hr Ind = default for >99% of cases"
"53","phis",1558,"Medical Record Number duplicate count (>1 Date of Birth)"
"54","phis",1254,"Billed charges unmapped rate >$1 mil or >5% of billed chgs"
"55","phis",2002,"Country code invalid entry cases."
"56","phis",2033,"Reported to Chg based Mech Vent count difference >=3x median"
"57","phis",1317,"Billed charges = $0 case rate (CTC Flag =Y and >=50 cases)"
"58","phis",1535,"Gender is ""Unknown"" for >=5 cases."
"59","phis",1676,"Zip code last 4 digits missing in >=20% of cases"
"60","phis",1871,"Payer-Tertiary >= 1% unknown."
"61","phis",1948,"Px count with PPx start date after encounter end date"
"62","phis",2320,"Reported to Chg based ICU days difference >=3x median"
"63","phis",24,"Gestational Age invalid entry rate >=5%"
"64","phis",1961,"PPx start hour is missing for 100% of PPx."
"65","phis",207,"Payer <= 20% Medicaid."
"66","phis",1571,"Normal newborn rate is >5% of neonates."
"67","phis",11,"BW NICU missing entry rate >=5%"
"68","phis",2665,"Px count with Px start date >=3 days before admit date."
"69","phis",1600,"POA PDx codes exempt by CMS are not assigned POA Exempt"
"70","phis",1325,"Financial data missing cases. (CTC Flag=No and >=1%)"
"71","phis",1806,"Med discharge hour >=18% 06 (06:00 AM to 06:59 AM)."
"72","phis",1364,"DOB is <=12/31/1960. (DOB not missing)"
"73","phis",1451,"Discharge Hour >=18% 23 (11:00 PM to 11:59 PM)."
"74","phis",1523,"Ethnicity is unknown for >=20% of cases."
"75","phis",2263,"Attending physician entered <=98% cases."
"76","phis",203,"Disposition >= .1% missing."
"77","phis",2661,"Discharge Hour = Medical Discharge Hour for 100% of cases"
"78","phis",1171,"Admit Hour is missing for >= .1% of cases."
"79","phis",1614,"PDx code is invalid for >=.5% of cases."
"80","phis",5,"BW missing entry rate >=15%"
"81","phis",1227,"Encounter duplicate count (same BN & demographics)"
"82","phis",1346,"Financial data missing rate. (CTC Flag=No and >=1%)"
"83","phis",1093,"Admit Hour is missing for >= .1% of cases."
"84","phis",1529,"Ethnicity is unknown for >=20% of cases."
"85","phis",221,"NICU patient age >180 Days for >=15% of NICU cases"
"86","phis",2651,"Disposition = Hospice expired in medical facility cases"
"87","phis",1240,"Abstract charge <=$0 rate. (Cases > 50 and rate >=.5%)"
"88","phis",1718,"Med discharge hour = physical discharge hour for 100% cases"
"89","phis",1550,"Px codes are invalid for >=.1% of cases."
"90","phis",1127,"Admit Hour >=18% 06 (06:00 AM to 06:59 AM)."
"91","phis",2113,"PPx count with missing PPx end dates."
"92","phis",1810,"Med discharge hour >=18% 10 (10:00 AM to 10:59 AM)."
"93","phis",1704,"BW Ind is missing for >=10% of neonates."
"94","phis",1343,"Billed charges unmapped >$50K or >.2% of billed chgs"
"95","phis",261,"Race entries missing for >=25% of cases."
"96","phis",2430,"BW missing for >=3% of newborn cases (Age <= 14 days)"
"97","phis",1565,"Medical Record Number duplicate count (>1 Date of Birth)"
"98","phis",1556,"Medical Record Number (>1 Date of Birth) duplicate cases"
"99","phis",1215,"Encounter duplicate count (same BN & demographics)"
"100","phis",1927,"Px count with Px start date after encounter end date"
"101","phis",2127,"PPx end hour is missing for 100% of PPx."
"102","phis",1230,"Abstract charge <=$0 rate. (Cases > 10 and rate >=.5%)"
"103","phis",2070,"Reported TPN flag = No, reported TPN days >= 1 cases"
"104","phis",1224,"Encounter duplicate cases (same BN & demographics)"
"105","phis",2638,"Encounter duplicate rate >=.2% (same BN & demographics)"
"106","phis",1520,"Disposition >= .1% unknown and/or invalid."
"107","phis",2003,"Country code invalid value count"
"108","phis",312,"Disposition = expired count >1 for medical record number."
"109","phis",2010,"Reported ECMO flag = No, reported ECMO days >= 1 cases"
"110","phis",1460,"Discharge Hour >=18% 06 (06:00 AM to 06:59 AM)."
"111","phis",55,"POA All Dx missing, unknown or invalid entry rate >0%."
"112","phis",1349,"Total billed and total abstr chgs dif is >= ±2% for qtr."
"113","phis",1360,"DOB is <=12/31/1960. (DOB not missing)"
"114","phis",1119,"Admit Hour is missing for >= .1% of cases."
"115","phis",2311,"Other data quality not assessed. Data may not be reliable."
"116","phis",2034,"Reported MechVent flag=No, reptd MechVent days >= 1 cases"
"117","phis",36,"POA PDx missing, unknown or invalid entry rate >0%."
"118","phis",1579,"Pt Type 1 (ED) has ED charges <95% cases"
"119","phis",1145,"Admit Hour is missing for >= .1% of cases."
"120","phis",1220,"Encounter duplicate cases (same BN & demographics)"
"121","phis",1236,"Abstract charge <=$0 rate. (Cases > 50 and rate >=.5%)"
"122","phis",1361,"Date of birth after admit date cases."
"123","phis",1952,"Px start hour is missing for 100% of Px."
"124","phis",2057,"Reported to Chg based PICU count difference >=3x median"
"125","phis",1344,"Billed charges unmapped rate >$50K or >.2% of billed chgs"
"126","phis",4,"BW invalid entry rate >2%"
"127","phis",1872,"Payer-Tertiary = 100% unknown."
"128","phis",2059,"Reported PICU flag = No, reported PICU days >= 1 rate"
"129","phis",2078,"LOS >=2 for >=.5% of Ambulatory Surgery cases"
"130","phis",1253,"Billed charges unmapped >$1 mil or >5% of billed chgs"
"131","phis",1608,"PDx code is invalid for >=.5% of cases."
"132","phis",1465,"Discharge Hour >=18% 11 (11:00 AM to 11:59 AM)."
"133","phis",1923,"Days (max) Px start date after encounter end date (physical)"
"134","phis",2159,"Disch Hr Ind = default for >99% of cases"
"135","phis",1572,"OB-GYN (MDC 14) rate is >=.5%."
"136","phis",2623,"POA All Dx missing, unknown or invalid for >=25 entries"
"137","phis",1955,"Px start hour is missing for 100% of Px."
"138","phis",2666,"PPx count with PPx start date >=3 days before admit date."
"139","phis",10,"BW NICU invalid entry rate >2%"
"140","phis",1235,"Abstract charge <=$0 cases. (Cases > 50 and rate >=.5%)"
"141","phis",1553,"Px codes are invalid for >=.1% of cases."
"142","phis",1323,"Billed charges unmapped >$50K or >.2% of billed chgs"
"143","phis",1944,"Days (max) PPx start date after encounter end date(physical)"
"144","phis",1993,"Country code invalid entry cases."
"145","phis",1229,"Abstract charge <=$0 cases. (Cases > 10 and rate >=.5%)"
"146","phis",1318,"Billed charges = $0 cases (CTC Flag =Y and >=50 cases)"
"147","phis",1173,"Adm Hr Ind = default for >99% of cases"
"148","phis",25,"Gestational Age missing entry rate >=20%"
"149","phis",2256,"Date of birth default cases"
"150","phis",1193,"Adm Hr Ind = default for >99% of cases"
"151","phis",1996,"Country code invalid entry cases."
"152","phis",2257,"Date of birth default value (date)"
"153","phis",262,"Race entries missing for >=25% of cases."
"154","phis",2000,"Country code invalid value count"
"155","phis",1221,"Billing Number duplicate cases"
"156","phis",1345,"Financial data missing cases. (CTC Flag=No and >=1%)"
"157","phis",1274,"CTC unspecified code charges-Pharmacy rate"
"158","phis",1166,"Admit Hour >=18% 19 (07:00 PM to 07:59 PM)."
"159","phis",2124,"PPx end hour is missing for 100% of PPx."
"160","phis",1305,"Nrsg unit chgs >$0-Adult (vs. ped) Partial hosp tx unspec"
"161","phis",1326,"Financial data missing rate. (CTC Flag=No and >=1%)"
"162","phis",2035,"Reported MechVent flag=No, reptd MechVent days >= 1 rate"
"163","phis",263,"Race entries missing for >=25% of cases."
"164","phis",2071,"Reported TPN flag = No, reported TPN days >= 1 rate"
"165","phis",1286,"Nrsg unit chgs >$0-Adult (vs. ped) Cardiac ICU"
"166","phis",313,"Disposition = Expired for donor encounter count."
"167","phis",1926,"Px start date missing or invalid rate."
"168","phis",2069,"Reported to Chg based TPN count difference >=3x median"
"169","phis",1516,"Disposition >= .1% unknown and/or invalid."
"170","phis",2173,"Disch Hr Ind = default for >99% of cases"
"171","phis",1602,"POA PDx missing, unknown or invalid for 1-14 entries"
"172","phis",2041,"Reported NICU flag = 100% No"
"173","phis",1598,"POA All Dx missing, unknown or invalid for 1-24 entries"
"174","phis",1610,"PDx code is invalid for >=.5% of cases."
"175","phis",1563,"Medical Record Number (>1 Date of Birth) duplicate cases"
"176","phis",1811,"Med discharge hour >=18% 11 (11:00 AM to 11:59 AM)."
"177","phis",1351,"CPT codes are not submitted."
"178","phis",2081,"LOS maximum value >=3 for >=2% and >=10 Observation cases."
"179","phis",2162,"Med Disch Hr Ind = default for >99% of cases"
"180","phis",2058,"Reported PICU flag = No, reported PICU days >= 1 cases"
"181","phis",1335,"Financial data missing cases. (CTC Flag=No and >=1%)"
"182","phis",2652,"Disposition = Hospice expired in medical facility rate"
"183","phis",2164,"Med Disch Hr Ind = default for >99% of cases"
"184","phis",1273,"CTC unspecified code charges-Pharmacy"
"185","phis",1532,"Ethnicity is unknown for >=20% of cases."
"186","phis",1745,"Med discharge hour = physical discharge hour for 100% cases"
"187","phis",1686,"Zip code last 4 digits missing in >=20% of cases"
"188","phis",1276,"CTC unspecified code charges-Supply rate"
"189","phis",2168,"Med Disch Hr Ind = default for >99% of cases"
"190","phis",1560,"Medical Record Number (>1 Date of Birth) duplicate cases"
"191","phis",2011,"Reported ECMO flag = No, reported ECMO days >= 1 rate"
"192","phis",1219,"Encounter duplicate count (same BN & demographics)"
"193","phis",1368,"DOB is <=12/31/1960. (DOB not missing)"
"194","phis",1796,"Med discharge hour >=18% 23 (11:00 PM to 11:59 PM)."
"195","phis",2022,"Reported ICU flag = No, reported ICU days >= 1 cases"
"196","phis",1869,"Payer-Tertiary >= 1% unknown."
"197","phis",1334,"Billed charges unmapped rate >$50K or >.2% of billed chgs"
"198","phis",2310,"Clinic data quality not assessed. Data may not be reliable."
"199","phis",2157,"Disch Hr Ind = default for >99% of cases"
"200","phis",205,"Disposition = Expired for >=1 donor encounter."
"201","phis",2269,"Surgeon entered for <=98% of procedures."
"202","phis",1518,"Disposition >= .1% unknown and/or invalid."
"203","phis",1464,"Discharge Hour >=18% 10 (10:00 AM to 10:59 AM)."
"204","phis",2161,"Disch Hr Ind = default for >99% of cases"
"205","phis",284,"Disposition >= .1% missing."
"206","phis",1999,"Country code invalid entry cases."
"207","phis",1933,"Px start date missing or invalid rate."
"208","phis",1347,"Total billed and total abstr chgs dif is >= ±2% for qtr."
"209","phis",1946,"PPx start date missing or invalid rate."
"210","phis",1555,"Px codes are invalid for >=.1% of cases."
"211","phis",2264,"Attending physician entered <=98% cases."
"212","phis",1336,"Financial data missing rate. (CTC Flag=No and >=1%)"
"213","phis",1867,"Payer-Tertiary >= 1% unknown."
"214","phis",1612,"PDx code is invalid for >=.5% of cases."
"215","phis",1997,"Country code invalid value count"
"216","phis",2009,"Reported to Chg based ECMO count difference >=3x median"
"217","phis",1222,"Billing Number duplicate count"
"218","phis",2660,"Discharge Hour = Medical Discharge Hour for 100% of cases"
"219","phis",1696,"APGAR 10-minute score is missing for >=98% of neonates"
"220","phis",1324,"Billed charges unmapped rate >$50K or >.2% of billed chgs"
"221","phis",1275,"CTC unspecified code charges-Supply"
"222","phis",1223,"Encounter duplicate count (same BN & demographics)"
"223","phis",2155,"PDx code = symptom for >2x PHIS median rate."
"224","minisentinel",1,"all_l2_n_records_dupes.sas7bdat"
"225","minisentinel",2,"cod_l1_cod.sas7bdat"
"226","minisentinel",3,"cod_l2_patidmatch.sas7bdat"
"227","minisentinel",4,"cod_l3_causet.sas7bdat"
"228","minisentinel",5,"cod_l3_cod.sas7bdat"
"229","minisentinel",6,"cod_l3_codet.sas7bdat"
"230","minisentinel",7,"cod_l3_confidence.sas7bdat"
"231","minisentinel",8,"cod_l3_n_patid.sas7bdat"
"232","minisentinel",9,"cod_l3_source.sas7bdat"
"233","minisentinel",10,"dem_l2_patidmatch.sas7bdat"
"234","minisentinel",11,"dem_l3_ageyrsdist1.sas7bdat"
"235","minisentinel",12,"dem_l3_ageyrsdist2.sas7bdat"
"236","minisentinel",13,"dem_l3_hispdist.sas7bdat"
"237","minisentinel",14,"dem_l3_n_patid.sas7bdat"
"238","minisentinel",15,"dem_l3_racedist.sas7bdat"
"239","minisentinel",16,"dem_l3_sexdist.sas7bdat"
"240","minisentinel",17,"dia_l1_dx.sas7bdat"
"241","minisentinel",18,"dia_l2_patidmatch.sas7bdat"
"242","minisentinel",19,"dia_l3_adate_y.sas7bdat"
"243","minisentinel",20,"dia_l3_adate_ym.sas7bdat"
"244","minisentinel",21,"dia_l3_ct_enct.sas7bdat"
"245","minisentinel",22,"dia_l3_ct_y.sas7bdat"
"246","minisentinel",24,"dia_l3_dx.sas7bdat"
"247","minisentinel",25,"dia_l3_encdate_y.sas7bdat"
"248","minisentinel",26,"dia_l3_encdate_ym.sas7bdat"
"249","minisentinel",27,"dia_l3_n_encid.sas7bdat"
"250","minisentinel",28,"dia_l3_n_patid.sas7bdat"
"251","minisentinel",29,"dia_l3_n_provid.sas7bdat"
"252","minisentinel",30,"dia_l3_pdx.sas7bdat"
"253","minisentinel",31,"dia_l3_pdx_et.sas7bdat"
"254","minisentinel",32,"dia_l3_stats_dx_per_enc.sas7bdat"
"255","minisentinel",34,"dis_l2_patidmatch.sas7bdat"
"256","minisentinel",36,"dis_l3_n_patid.sas7bdat"
"257","minisentinel",37,"dis_l3_rxamt.sas7bdat"
"258","minisentinel",38,"dis_l3_rxdate_y.sas7bdat"
"259","minisentinel",39,"dis_l3_rxdate_ym.sas7bdat"
"260","minisentinel",40,"dis_l3_rxptyr.sas7bdat"
"261","minisentinel",41,"dis_l3_rxsup.sas7bdat"
"262","minisentinel",42,"dth_cod_l2_patidmatch.sas7bdat"
"263","minisentinel",43,"dth_l2_patidmatch.sas7bdat"
"264","minisentinel",44,"dth_l3_confidence.sas7bdat"
"265","minisentinel",45,"dth_l3_dthdt_y.sas7bdat"
"266","minisentinel",46,"dth_l3_dthdt_ym.sas7bdat"
"267","minisentinel",47,"dth_l3_dtimpute.sas7bdat"
"268","minisentinel",48,"dth_l3_n_patid.sas7bdat"
"269","minisentinel",49,"dth_l3_source.sas7bdat"
"270","minisentinel",50,"enc_dia_pro_l2_encidmatch.sas7bdat"
"271","minisentinel",52,"enc_l2_drg_enctype.sas7bdat"
"272","minisentinel",53,"enc_l2_patidmatch.sas7bdat"
"273","minisentinel",54,"enc_l3_adate_y.sas7bdat"
"274","minisentinel",55,"enc_l3_adate_ym.sas7bdat"
"275","minisentinel",56,"enc_l3_admsrc.sas7bdat"
"276","minisentinel",57,"enc_l3_admsrc_enc.sas7bdat"
"277","minisentinel",58,"enc_l3_ddate_y.sas7bdat"
"278","minisentinel",59,"enc_l3_ddate_ym.sas7bdat"
"279","minisentinel",60,"enc_l3_disdisp.sas7bdat"
"280","minisentinel",61,"enc_l3_disdisp_enc.sas7bdat"
"281","minisentinel",62,"enc_l3_disstat.sas7bdat"
"282","minisentinel",63,"enc_l3_disstat_enc.sas7bdat"
"283","minisentinel",66,"enc_l3_drg_type.sas7bdat"
"284","minisentinel",67,"enc_l3_drg_type_enct.sas7bdat"
"285","minisentinel",68,"enc_l3_drg_type_y.sas7bdat"
"286","minisentinel",69,"enc_l3_encdate_y.sas7bdat"
"287","minisentinel",70,"enc_l3_encdate_ym.sas7bdat"
"288","minisentinel",71,"enc_l3_enctype_ddate_y.sas7bdat"
"289","minisentinel",72,"enc_l3_enctype_ddate_ym.sas7bdat"
"290","minisentinel",73,"enc_l3_enctype_los_nd.sas7bdat"
"291","minisentinel",74,"enc_l3_enctype_los_y.sas7bdat"
"292","minisentinel",75,"enc_l3_enctype_los_ym.sas7bdat"
"293","minisentinel",76,"enc_l3_facloc.sas7bdat"
"294","minisentinel",77,"enc_l3_n_encid.sas7bdat"
"295","minisentinel",78,"enc_l3_n_patid.sas7bdat"
"296","minisentinel",79,"enc_l3_n_provid.sas7bdat"
"297","minisentinel",80,"enc_l3_stats_enc_y.sas7bdat"
"298","minisentinel",81,"enc_l3_stats_enc_ym.sas7bdat"
"299","minisentinel",82,"enc_l3_stats_y.sas7bdat"
"300","minisentinel",83,"enc_l3_stats_ym.sas7bdat"
"301","minisentinel",92,"enr_l3_drugcov.sas7bdat"
"302","minisentinel",95,"enr_l3_medcov.sas7bdat"
"303","minisentinel",96,"enr_l3_meddrugcov.sas7bdat"
"304","minisentinel",97,"enr_l3_n_patid.sas7bdat"
"305","minisentinel",99,"enr_l3_stats_enrd.sas7bdat"
"306","minisentinel",100,"enr_l3_stats_enrm.sas7bdat"
"307","minisentinel",101,"enr_l3_stats_enrmd.sas7bdat"
"308","minisentinel",103,"flag_l1_l2_cod.sas7bdat"
"309","minisentinel",104,"flag_l1_l2_dem.sas7bdat"
"310","minisentinel",105,"flag_l1_l2_dia.sas7bdat"
"311","minisentinel",106,"flag_l1_l2_dis.sas7bdat"
"312","minisentinel",107,"flag_l1_l2_dth.sas7bdat"
"313","minisentinel",108,"flag_l1_l2_enc.sas7bdat"
"314","minisentinel",109,"flag_l1_l2_enr.sas7bdat"
"315","minisentinel",110,"flag_l1_l2_pro.sas7bdat"
"316","minisentinel",111,"flags_l1_l2_.sas7bdat"
"317","minisentinel",112,"flags_l1_l2_lab.sas7bdat"
"318","minisentinel",113,"l1_idlength.sas7bdat"
"319","minisentinel",114,"lab_l2_abn_ind.sas7bdat"
"320","minisentinel",115,"lab_l2_covmemb_at_least_1_test.sas7bdat"
"321","minisentinel",116,"lab_l2_enrmemb_at_least_1_test.sas7bdat"
"322","minisentinel",117,"lab_l2_memb_at_least_1_test.sas7bdat"
"323","minisentinel",118,"lab_l2_memb_test_outside_enr.sas7bdat"
"324","minisentinel",119,"lab_l2_modifier.sas7bdat"
"325","minisentinel",120,"lab_l2_modifier_high.sas7bdat"
"326","minisentinel",121,"lab_l2_modifier_low.sas7bdat"
"327","minisentinel",122,"lab_l2_ms_test_sub_category.sas7bdat"
"328","minisentinel",123,"lab_l2_orig_std_ms_res_unit.sas7bdat"
"329","minisentinel",124,"lab_l2_patidmatch.sas7bdat"
"330","minisentinel",125,"lab_l2_pattest.sas7bdat"
"331","minisentinel",126,"lab_l2_pt_loc.sas7bdat"
"332","minisentinel",127,"lab_l2_px_ct.sas7bdat"
"333","minisentinel",128,"lab_l2_result_loc.sas7bdat"
"334","minisentinel",129,"lab_l2_specimen_source.sas7bdat"
"335","minisentinel",130,"lab_l2_stat.sas7bdat"
"336","minisentinel",131,"lab_l2_stats_ms_res_unit.sas7bdat"
"337","minisentinel",132,"lab_l2_stats_orig_res_unit.sas7bdat"
"338","minisentinel",133,"lab_l2_test.sas7bdat"
"339","minisentinel",134,"lab_l2_test_all_dt.sas7bdat"
"340","minisentinel",135,"lab_l2_test_lab_dt.sas7bdat"
"341","minisentinel",136,"lab_l2_test_lab_tm.sas7bdat"
"342","minisentinel",137,"lab_l2_test_msresult_unit.sas7bdat"
"343","minisentinel",138,"lab_l2_test_order_dt.sas7bdat"
"344","minisentinel",139,"lab_l2_test_origresult_unit.sas7bdat"
"345","minisentinel",140,"lab_l2_test_ptloc.sas7bdat"
"346","minisentinel",141,"lab_l2_test_px_ct.sas7bdat"
"347","minisentinel",142,"lab_l2_test_range.sas7bdat"
"348","minisentinel",143,"lab_l2_test_result_dt.sas7bdat"
"349","minisentinel",144,"lab_l2_test_result_loc.sas7bdat"
"350","minisentinel",145,"lab_l2_test_result_tm.sas7bdat"
"351","minisentinel",146,"lab_l2_test_rslttyp.sas7bdat"
"352","minisentinel",147,"lab_l2_test_rslttyp_abn.sas7bdat"
"353","minisentinel",148,"lab_l2_test_rslttyp_norm.sas7bdat"
"354","minisentinel",149,"lab_l2_test_rslttyp_norm_ptloc.sas7bdat"
"355","minisentinel",150,"lab_l2_test_rslttyp_ptloc.sas7bdat"
"356","minisentinel",151,"lab_l2_test_rslttyp_specimen.sas7bdat"
"357","minisentinel",152,"lab_l2_test_specimen_loinc.sas7bdat"
"358","minisentinel",153,"lab_l2_test_stat.sas7bdat"
"359","minisentinel",154,"lab_l2_test_stdresult_unit.sas7bdat"
"360","minisentinel",155,"lab_l3_abn_vs_abn_derived.sas7bdat"
"361","minisentinel",156,"lab_l3_comp_enroll_vs_lab.sas7bdat"
"362","minisentinel",157,"lab_l3_dates_pre2006_y.sas7bdat"
"363","minisentinel",158,"lab_l3_dist_lab_dt.sas7bdat"
"364","minisentinel",159,"lab_l3_dist_order_dt.sas7bdat"
"365","minisentinel",160,"lab_l3_dist_result_dt.sas7bdat"
"366","minisentinel",161,"lab_l3_memb_at_least_1_test_y.sas7bdat"
"367","minisentinel",162,"lab_l3_pattest_y.sas7bdat"
"368","minisentinel",163,"lab_l3_test_all_dt_y.sas7bdat"
"369","minisentinel",164,"lab_l3_test_lab_dt_y.sas7bdat"
"370","minisentinel",165,"lab_l3_test_lab_tm_y.sas7bdat"
"371","minisentinel",166,"lab_l3_test_msresult_unit_y.sas7bdat"
"372","minisentinel",167,"lab_l3_test_order_dt_y.sas7bdat"
"373","minisentinel",168,"lab_l3_test_origresult_unit_y.sas7bdat"
"374","minisentinel",169,"lab_l3_test_ptloc_y.sas7bdat"
"375","minisentinel",170,"lab_l3_test_px_ct_y.sas7bdat"
"376","minisentinel",171,"lab_l3_test_range_y.sas7bdat"
"377","minisentinel",172,"lab_l3_test_ratios_ym.sas7bdat"
"378","minisentinel",173,"lab_l3_test_result_dt_y.sas7bdat"
"379","minisentinel",174,"lab_l3_test_result_loc_y.sas7bdat"
"380","minisentinel",175,"lab_l3_test_result_tm_y.sas7bdat"
"381","minisentinel",176,"lab_l3_test_rslttyp_abn_stats.sas7bdat"
"382","minisentinel",177,"lab_l3_test_rslttyp_abn_u_stats.sas7bdat"
"383","minisentinel",178,"lab_l3_test_rslttyp_norm_ptloc_y.sas7bdat"
"384","minisentinel",179,"lab_l3_test_rslttyp_norm_y.sas7bdat"
"385","minisentinel",180,"lab_l3_test_rslttyp_ptloc_y.sas7bdat"
"386","minisentinel",181,"lab_l3_test_rslttyp_y.sas7bdat"
"387","minisentinel",182,"lab_l3_test_specimen_loinc_y.sas7bdat"
"388","minisentinel",183,"lab_l3_test_stat_y.sas7bdat"
"389","minisentinel",184,"lab_l3_test_stdresult_unit_y.sas7bdat"
"390","minisentinel",186,"minmax_dates.sas7bdat"
"391","minisentinel",187,"pro_l1_px.sas7bdat"
"392","minisentinel",188,"pro_l2_patidmatch.sas7bdat"
"393","minisentinel",189,"pro_l3_adate_y.sas7bdat"
"394","minisentinel",190,"pro_l3_adate_ym.sas7bdat"
"395","minisentinel",191,"pro_l3_ct_enct.sas7bdat"
"396","minisentinel",192,"pro_l3_ct_y.sas7bdat"
"397","minisentinel",194,"pro_l3_encdate_y.sas7bdat"
"398","minisentinel",195,"pro_l3_encdate_ym.sas7bdat"
"399","minisentinel",196,"pro_l3_n_encid.sas7bdat"
"400","minisentinel",197,"pro_l3_n_patid.sas7bdat"
"401","minisentinel",198,"pro_l3_n_provid.sas7bdat"
"402","minisentinel",199,"pro_l3_px.sas7bdat"
"403","minisentinel",200,"pro_l3_stats_px_per_enc.sas7bdat"
"404","minisentinel",201,"vars_check.sas7bdat"
"405","minisentinel",202,"vars_check_exist.sas7bdat"
"406","minisentinel",203,"vars_check_length.sas7bdat"
"407","minisentinel",204,"vars_check_type.sas7bdat"
"408","minisentinel",205,"vit_l1_freqs.sas7bdat"
"409","minisentinel",206,"vit_l2_days_btwn_ht_wt.sas7bdat"
"410","minisentinel",207,"vit_l2_patidmatch.sas7bdat"
"411","minisentinel",208,"vit_l3_days_enr_in_bmi_year_y.sas7bdat"
"412","minisentinel",209,"vit_l3_never_enrolled_y.sas7bdat"
"413","minisentinel",210,"vit_l3_num_bmi_age_sex_y.sas7bdat"
"414","minisentinel",211,"vit_l3_num_bptyp_age_sex_y.sas7bdat"
"415","minisentinel",212,"vit_l3_num_dia_age_sex_y.sas7bdat"
"416","minisentinel",213,"vit_l3_num_ht_age_sex_y.sas7bdat"
"417","minisentinel",214,"vit_l3_num_measure_tm_age_sex_y.sas7bdat"
"418","minisentinel",215,"vit_l3_num_position_age_sex_y.sas7bdat"
"419","minisentinel",216,"vit_l3_num_sys_age_sex_y.sas7bdat"
"420","minisentinel",217,"vit_l3_num_tob_age_sex_y.sas7bdat"
"421","minisentinel",218,"vit_l3_num_tobtyp_age_sex_y.sas7bdat"
"422","minisentinel",219,"vit_l3_num_wt_age_sex_y.sas7bdat"
"423","minisentinel",220,"vit_l3_total_num_age_sex_y.sas7bdat"
"424","minisentinel",221,"vit_l3_value_dia_age_sex_y.sas7bdat"
"425","minisentinel",222,"vit_l3_value_sys_age_sex_y.sas7bdat"
"426","minisentinel",223,"vit_l3_value_tob_age_sex_y.sas7bdat"
"427","minisentinel",224,"vit_l3_vitals_same_row_age_sex_y.sas7bdat"
"428","minisentinel",225,"all_l2_n_records_dupes.sas7bdat"
"429","minisentinel",226,"cod_l1_cod.sas7bdat"
"430","minisentinel",227,"cod_l2_patidmatch.sas7bdat"
